道 (Dao), 所轄州/府數量, 药材 , 纺织品, 矿产/金属, 畜产品/土特产, 农产品, 其他/待分类
劍南道  ,            40, 57.5%, 45.0% , 50.0%    , 40.0%        , 32.5% , 17.5%
山南東道,            18, 50.0%, 77.8% , 22.2%    , 50.0%        , 50.0% , 44.4%
山南西道,            17, 58.8%, 70.6% , 35.3%    , 58.8%        , 29.4% , 17.6%
山南道  ,             2, 50.0%, 50.0% , 50.0%    , 50.0%        , 50.0% , 50.0%
嶺南道  ,            74, 20.3%, 20.3% , 81.1%    , 12.2%        , 6.8%  , 16.2%
江南東道,            19, 31.6%, 73.7% , 26.3%    , 52.6%        , 68.4% , 52.6%
江南西道,            32, 43.8%, 53.1% , 50.0%    , 28.1%        , 18.8% , 37.5%
河北道  ,            30, 33.3%, 66.7% , 16.7%    , 16.7%        , 10.0% , 30.0%
河南道  ,            31, 35.5%, 87.1% , 29.0%    , 6.5%         , 16.1% , 32.3%
河東道  ,            22, 54.5%, 31.8% , 45.5%    , 72.7%        , 22.7% , 27.3%
淮南道  ,            12, 66.7%, 100.0%, 41.7%    , 25.0%        , 50.0% , 16.7%
關內道  ,            34, 32.4%, 55.9% , 14.7%    , 52.9%        , 17.6% , 17.6%
隴右道  ,            21, 71.4%, 33.3% , 42.9%    , 47.6%        , 14.3% , 38.1%
